,obs_post_id,obs_lat,data_type,obs_post_name,obs_lon,obs_object
0,DT_0063,35.024178,조위관측소,가덕도,128.810933,"조위,수온,염분,기온,기압,풍속,풍향"
1,DT_0032,37.731944,조위관측소,강화대교,126.522222,"조위,기압"
2,DT_0031,34.028333,조위관측소,거문도,127.308889,"조위,수온,염분,기온,기압,풍속,풍향"
3,DT_0029,34.801389,조위관측소,거제도,128.699167,"조위,수온,염분,기온,기압,풍속,풍향"
4,DT_0058,37.560833,조위관측소,경인항,126.601111,"조위,기온,기압,풍속,풍향"
5,DT_0026,34.481111,조위관측소,고흥발포,127.342778,"조위,수온,염분,기온,기압,풍속,풍향"
6,DT_0049,34.903672,조위관측소,광양,127.754836,"조위,기온,기압,풍속,풍향"
7,DT_0018,35.975556,조위관측소,군산,126.563056,"조위,수온,염분,기온,기압,풍속,풍향"
8,DT_0017,37.0075,조위관측소,대산,126.352778,"조위,수온,기온,기압,풍속,풍향"
9,DT_0065,37.226333,조위관측소,덕적도,126.156556,"기온,기압,풍속,풍향"
10,DT_0057,37.494722,조위관측소,동해항,129.143889,"조위,기온,기압,풍속,풍향"
11,DT_0062,35.1975,조위관측소,마산,128.576389,"조위,기온,기압,풍속,풍향"
12,DT_0023,33.214444,조위관측소,모슬포,126.251111,"조위,수온,염분,기온,기압,풍속,풍향"
13,DT_0007,34.779722,조위관측소,목포,126.375556,"조위,수온,염분,기온,기압,풍속,풍향"
14,DT_0006,37.550278,조위관측소,묵호,129.116389,"조위,수온,염분,기온,기압,풍속,풍향"
15,DT_0025,36.406389,조위관측소,보령,126.486111,"조위,수온,염분,기온,기압,풍속,풍향"
16,DT_0005,35.096389,조위관측소,부산,129.035278,"조위,수온,염분,기온,기압,풍속,풍향"
17,DT_0056,35.0775,조위관측소,부산항신항,128.786944,"조위,기온,기압,풍속,풍향"
18,DT_0061,34.924167,조위관측소,삼천포,128.069722,"조위,수온,염분,기온,기압,풍속,풍향"
19,DT_0010,33.24,조위관측소,서귀포,126.561667,"조위,수온,염분,기온,기압,풍속,풍향"
20,DT_0051,36.1288888888889,조위관측소,서천마량,126.495277777778,"조위,기온,기압,풍속,풍향"
21,DT_0022,33.474722,조위관측소,성산포,126.927778,"조위,수온,염분,기온,기압,풍속,풍향"
22,DT_0012,38.207222,조위관측소,속초,128.594167,"조위,수온,염분,기온,기압,풍속,풍향"
23,DT_0008,37.192222,조위관측소,안산,126.647222,"조위,수온,염분,기온,기압,풍속,풍향"
24,DT_0067,36.6746388888889,조위관측소,안흥,126.129555555556,"조위,수온,염분,기온,기압,풍속,풍향"
25,DT_0037,36.117222,조위관측소,어청도,125.984722,"조위,수온,염분,기온,기압,풍속,풍향"
26,DT_0016,34.747222,조위관측소,여수,127.765556,"조위,수온,염분,기온,기압,풍속,풍향"
27,DT_0092,34.661944,조위관측소,여호항,127.469167,"조위,기온,기압,풍속,풍향"
28,DT_0003,35.426111,조위관측소,영광,126.420556,"조위,기온,기압,풍속,풍향"
29,DT_0044,37.545556,조위관측소,영종대교,126.584444,"조위,기압"
30,DT_0043,37.2386111111111,조위관측소,영흥도,126.428611111111,"조위,기온,기압,풍속,풍향"
31,DT_0027,34.315556,조위관측소,완도,126.759722,"조위,수온,염분,기온,기압,풍속,풍향"
32,DT_0013,37.491389,조위관측소,울릉도,130.913611,"조위,수온,염분,기온,기압,풍속,풍향"
33,DT_0020,35.501944,조위관측소,울산,129.387222,"조위,수온,염분,기온,기압,풍속,풍향"
34,DT_0068,35.6180844444444,조위관측소,위도,126.301815833333,"조위,기온,기압,풍속,풍향"
35,DT_0001,37.451944,조위관측소,인천,126.592222,"조위,수온,염분,기온,기압,풍속,풍향"
36,DT_0052,37.3380555555556,조위관측소,인천송도,126.586111111111,"조위,기온,기압,풍속,풍향"
37,DT_0024,36.006944,조위관측소,장항,126.6875,"조위,기온,기압,풍속,풍향"
38,DT_0004,33.5275,조위관측소,제주,126.543056,"조위,수온,염분,기온,기압,풍속,풍향"
39,DT_0028,34.377778,조위관측소,진도,126.308611,"조위,수온,염분,기온,기압,풍속,풍향"
40,DT_0021,33.961944,조위관측소,추자도,126.300278,"조위,수온,염분,기온,기압,풍속,풍향"
41,DT_0050,36.9130555555556,조위관측소,태안,126.238888888889,"조위,기온,기압,풍속,풍향"
42,DT_0014,34.827778,조위관측소,통영,128.434722,"조위,수온,염분,기온,기압,풍속,풍향"
43,DT_0002,36.966944,조위관측소,평택,126.822778,"조위,수온,기온,기압,풍속,풍향"
44,DT_0091,36.047128,조위관측소,포항,129.383806,"조위,수온,염분,기온,기압,풍속,풍향"
45,DT_0066,35.167667,조위관측소,향화도,126.359556,"조위,기온,기압,풍속,풍향"
46,DT_0011,36.6775,조위관측소,후포,129.453056,"조위,수온,염분,기온,기압,풍속,풍향"
47,DT_0035,34.684167,조위관측소,흑산도,125.435556,"조위,수온,염분,기온,기압,풍속,풍향"
48,DT_0042,34.7047222222222,해양관측소,교본초,128.306388888889,"조위,기온,기압,풍속,풍향,파고"
49,DT_0041,34.0983333333333,해양관측소,복사초,126.168333333333,"조위,기온,기압,풍속,풍향,파고"
50,DT_0039,36.7191666666667,해양관측소,왕돌초,129.7325,실시간제공데이터 항목 없음
