,Src Zone,Src Address,Dst Zone,Dst Address,Service,App,URL,Action,Last Matched (days ago),사용유무
0,trust,192.168.230.165,untrust,192.168.85.38,tcp-22,ssh,any,permit,232.0,
1,,192.168.230.211,,,,,,,,
2,trust,192.168.230.26,untrust,192.168.204.232,tcp_8281,any,any,permit,289.0,
3,,192.168.230.62,,,,,,,,
4,trust,192.168.231.192,untrust,192.168.206.14,tcp-25,smtp,any,permit,203.0,
5,,,,192.168.237.14,,,,,,
6,trust,192.168.181.201,untrust,192.168.52.103,tcp-5514,any,any,permit,220.0,
7,,192.168.181.202,,,,,,,,
8,trust,192.168.181.201,untrust,192.168.52.119,udp-514,syslog,any,permit,220.0,
9,,192.168.181.202,,,,,,,,
10,untrust,192.168.52.94,trust,192.168.181.181,tcp-636,any,any,permit,350.0,
11,,192.168.52.95,,192.168.181.182,,,,,,
12,untrust,192.168.52.84,trust,192.168.181.202,tcp-8445,any,any,permit,220.0,
13,,,,192.168.181.201,,,,,,
14,untrust,192.168.52.84,trust,192.168.181.201,tcp-22,any,any,permit,220.0,
15,,,,192.168.181.202,,,,,,
16,,,,192.168.181.230,,,,,,
17,,,,192.168.181.246,,,,,,
18,untrust,192.168.47.150,trust,192.168.181.143,tcp-1521,oracle,any,permit,351.0,
19,untrust,192.168.85.172,trust,192.168.230.74,tcp-1433,any,any,permit,203.0,
20,,192.168.45.134,,,,,,,,
21,,192.168.45.135,,,,,,,,
22,,192.168.45.140-143,,,,,,,,
23,untrust,192.168.85.28,trust,192.168.230.0/24,tcp-3540,any,any,permit,252.0,
24,untrust,192.168.85.0/24,trust,192.168.230.72,tcp-80,any,any,permit,244.0,
25,untrust,192.168.228.186,trust,10.249.0.0/27,tcp-22,any,any,permit,309.0,
26,trust,10.248.159.227-231,trust,10.248.159.107,tcp-22,any,any,permit,316.0,
27,trust,10.248.9.142,untrust,10.168.10.104,tcp-1433,any,any,permit,246.0,
28,trust,192.168.230.91,trust,10.248.4.48/28,tcp-22,any,any,permit,240.0,
29,trust,192.168.230.91,trust,10.248.4.48/28,tcp_514,any,any,permit,240.0,
30,trust,192.168.230.91,trust,10.248.4.112/28,tcp-22,any,any,permit,240.0,
31,trust,192.168.230.91,trust,10.248.4.112/28,tcp_511-1024,any,any,permit,240.0,
32,trust,10.248.4.53,untrust,192.168.52.111,udp-514,syslog,any,permit,322.0,
33,,10.248.4.54/31,,,,,,,,
34,,10.248.4.56/31,,,,,,,,
35,,10.248.4.58,,,,,,,,
36,,10.248.4.60/31,,,,,,,,
37,,10.248.4.62,,,,,,,,
38,trust,10.249.8.216,untrust,192.168.152.159,tcp-80,any,any,permit,350.0,
39,trust,10.249.8.216,untrust,192.168.206.14,tcp-25,smtp,any,permit,337.0,
40,,,,192.168.237.14,,,,,,
41,trust,10.249.8.220,untrust,192.168.48.209,tcp-443,"soap
ssl",any,permit,204.0,
42,trust,192.168.230.11,trust,10.248.195.155,tcp_8281,any,any,permit,261.0,
43,trust,192.168.230.91,trust,10.248.196.128/26,tcp-22,ssh,any,permit,317.0,
44,trust,10.248.196.128/26,trust,192.168.230.72,tcp-111,any,any,permit,330.0,
