,Src Zone,Src Address,Dst Zone,Dst Address,Service,App,URL,Action,Last Matched (days ago),사용유무
0,vlan482,192.168.48.112,vlan1522,192.168.152.135,udp_8065,any,any,permit,353.0,
1,,192.168.48.113,,,,,,,,
2,vlan178,10.168.178.100,untrust,192.168.223.220,tcp-80,any,any,permit,286.0,
3,,10.168.178.101,,,,,,,,
4,vlan178,10.168.178.100,untrust,192.168.223.220,tcp_8021,any,any,permit,286.0,
5,,10.168.178.101,,,,,,,,
6,vlan178,10.168.178.100,untrust,192.168.223.220,tcp_8031,any,any,permit,286.0,
7,,10.168.178.101,,,,,,,,
8,vlan181,192.168.181.59,vlan199,10.169.199.0_24,tcp_22,ssh,any,permit,321.0,
9,vlan1823,192.168.182.81,vlan199,10.169.199.0/24,tcp_10000,any,any,permit,330.0,
10,untrust,192.168.85.100,vlan199,10.169.199.0/24,tcp_50075,any,any,permit,304.0,
11,untrust,192.168.85.100,vlan199,10.169.199.71,tcp_50070,any,any,permit,304.0,
12,,192.168.85.101,,10.169.199.72,,,,,,
13,untrust,192.168.220.229,vlan199,10.169.199.8,tcp-9200,any,any,permit,304.0,
14,,,,10.169.199.60,,,,,,
15,,,,10.169.199.61,,,,,,
16,untrust,192.168.181.202,vlan521,192.168.52.103,tcp-5514,any,any,permit,220.0,
17,vlan1522,192.168.152.160,vlan521,192.168.52.101,tcp-8000,any,any,permit,206.0,
18,vlan521,192.168.52.92/31,untrust,10.60.0.0/25,any,any,any,permit,349.0,
19,,,,10.60.0.128/25,,,,,,
20,vlan521,192.168.52.42,vlan1522,192.168.152.157,tcp-443,"soap
ssl",any,permit,349.0,
21,untrust,10.168.206.78,vlan1522,192.168.152.140,tcp-9522,any,any,permit,316.0,
22,untrust,10.169.0.0/24,vlan1522,192.168.152.135,udp-514,syslog,any,permit,304.0,
23,vlan521,192.168.52.43,vlan2281,192.168.228.172,tcp-25,smtp,any,permit,199.0,
24,,192.168.52.45,,192.168.228.173,,,,,,
25,,192.168.52.47,,,,,,,,
26,,192.168.52.71-72,,,,,,,,
27,untrust,192.168.158.150,vlan1522,192.168.152.135,tcp-9997,"splunk
web-browsing
ldap
ssl",any,permit,276.0,
28,,192.168.158.151,,,,,,,,
