,Src Zone,Src Address,Dst Zone,Dst Address,Service,App,URL,Action,Last Matched (days ago),사용우무
0,trust,192.168.90.88,untrust,10.168.7.28,tcp_1433,,,permit,422.0,
1,,192.168.90.89,,,,,,,,
2,trust,192.168.81.114/31,untrust,192.168.155.72,tcp_1433,,,permit,196.0,
3,trust,192.168.237.59,untrust,192.168.237.123,tcp_22,,,permit,260.0,
4,trust,192.168.88.238,untrust,192.168.154.202,tcp_1433,,,permit,534.0,
5,,192.168.88.68-69,,,,,,,,
6,trust,192.168.81.130/31,untrust,10.168.2.65,tcp_7891,,,permit,198.0,
7,,192.168.81.161,,10.168.2.134,,,,,,
8,,192.168.81.162,,10.168.2.69,,,,,,
9,,192.168.81.144/31,,,,,,,,
10,,192.168.81.29,,,,,,,,
11,trust,192.168.128.230,untrust,192.168.181.29,tcp_1433,,,permit,407.0,
12,trust,192.168.128.192/26,untrust,192.168.228.153,tcp_80,,,permit,324.0,
13,trust,192.168.45.11-14,untrust,10.168.7.28,tcp_1433,,,permit,280.0,
14,,192.168.45.51,,,,,,,,
15,,192.168.45.52,,,,,,,,
16,,192.168.45.55,,,,,,,,
17,trust,192.168.45.140,untrust,10.168.7.28,tcp_1433,,,permit,191.0,
18,,,,192.168.48.13,,,,,,
19,trust,192.168.204.214,untrust,10.10.100.93,tcp_8089,,,permit,491.0,
20,trust,192.168.88.68-69,untrust,192.168.154.200,tcp_1433,,,permit,534.0,
21,trust,192.168.204.218,untrust,10.10.100.101,tcp_443,,,permit,470.0,
22,,,,10.168.117.218-10.168.117.220,,,,,,
23,,,,10.168.117.61-10.168.117.65,,,,,,
24,trust,192.168.204.218,untrust,10.168.240.34,tcp_80,,,permit,542.0,
25,trust,192.168.204.218,untrust,10.168.240.34,tcp_443,,,permit,542.0,
26,trust,192.168.252.12/30,untrust,10.246.253.0/24,tcp_any,,,permit,,
27,,,,10.246.251.128/25,,,,,,
28,,,,10.246.252.0/24,,,,,,
29,,,,10.246.251.0/25,,,,,,
30,trust,192.168.252.19,untrust,192.168.206.14,tcp_25,,,permit,,
31,trust,192.168.252.19,untrust,192.168.237.14,tcp_25,,,permit,,
32,trust,192.168.252.8/31,untrust,10.246.240.0/27,tcp_12312,,,permit,,
33,trust,192.168.252.8/31,untrust,10.246.240.32/27,tcp_12312,,,permit,,
34,trust,10.169.198.9,untrust,10.168.243.137,tcp_24224,,,permit,,
35,trust,192.168.90.0/24,untrust,192.168.48.241,tcp_8888,,,permit,,
36,trust,192.168.89.0/24,untrust,192.168.48.241,tcp_8888,,,permit,,
37,trust,192.168.88.0/24,untrust,192.168.48.241,tcp_8888,,,permit,,
38,trust,192.168.22.132-192.168.22.135,untrust,192.168.48.241,tcp_8888,,,permit,,
39,trust,192.168.22.132-192.168.22.135,untrust,192.168.48.241,tcp_443,,,permit,,
40,trust,192.168.22.132-192.168.22.135,untrust,192.168.48.246-192.168.48.248,tcp_8888,,,permit,,
41,trust,192.168.22.132-192.168.22.135,untrust,192.168.48.246-192.168.48.248,tcp_443,,,permit,,
42,trust,192.168.22.45-192.168.22.48,untrust,192.168.48.241,tcp_8888,,,permit,,
