,Src Zone,Src Address,Dst Zone,Dst Address,Service,App,URL,Action,Last Matched (days ago),사용유무
0,trust,10.168.22.101-104,untrust,192.168.22.164-169,tcp_6000-6010,,,permit,259.0,
1,trust,10.168.22.101-104,untrust,192.168.22.178,tcp_26937,,,permit,259.0,
2,,,,192.168.22.181,,,,,,
3,,,,192.168.22.143,,,,,,
4,trust,10.168.22.101-104,untrust,192.168.22.184,tcp_8306,,,permit,259.0,
5,,,,192.168.22.185,,,,,,
6,,,,192.168.22.179,,,,,,
7,,,,192.168.22.182,,,,,,
8,trust,10.168.90.88,untrust,10.168.7.28,tcp_1433,,,permit,419.0,
9,,10.168.90.89,,,,,,,,
10,trust,10.168.88.148-149,untrust,192.168.154.200,tcp_1433,,,permit,534.0,
11,,10.168.88.68-69,,192.168.154.201,,,,,,
12,,10.168.88.156-157,,,,,,,,
13,,10.168.88.152-155,,,,,,,,
14,trust,10.168.81.114/31,untrust,192.168.155.72,tcp_1433,,,permit,196.0,
15,,10.168.81.77,,,,,,,,
16,trust,192.168.237.100,untrust,192.168.22.184,tcp_8306,,,permit,259.0,
17,,192.168.237.101,,192.168.22.185,,,,,,
18,,192.168.237.123,,,,,,,,
19,trust,10.168.88.68-69,untrust,192.168.154.202,tcp_1433,,,permit,534.0,
20,trust,10.168.10.0/24,untrust,192.168.252.10/31,tcp_1025-5000,,,permit,343.0,
21,,10.168.88.0/24,,,,,,,,
22,,10.168.89.0/24,,,,,,,,
23,,10.168.90.0/24,,,,,,,,
24,trust,10.168.4.0/24,untrust,192.168.228.172,tcp_25,,,permit,253.0,
25,,10.168.10.0/24,,192.168.228.173,,,,,,
26,,10.168.88.0/24,,,,,,,,
27,,10.168.89.0/24,,,,,,,,
28,,10.168.90.0/24,,,,,,,,
29,,10.168.91.0/24,,,,,,,,
30,trust,10.168.22.96/27,untrust,192.168.22.166-169,tcp_6100-6200,,,permit,259.0,
31,trust,10.168.88.0/24,untrust,192.168.252.21,tcp_139,,,permit,266.0,
32,,10.168.89.0/24,,,,,,,,
33,,10.168.90.0/24,,,,,,,,
34,trust,10.168.81.100/31,untrust,192.168.21.213,tcp_9637,,,permit,,
35,trust,10.168.90.0/24,untrust,192.168.48.241,tcp_8888,,,permit,,
36,trust,10.168.89.0/24,untrust,192.168.48.241,tcp_8888,,,permit,,
37,trust,10.168.88.0/24,untrust,192.168.48.241,tcp_8888,,,permit,,
38,trust,10.168.22.101-10.168.22.108,untrust,192.168.48.241,tcp_8888,,,permit,,
39,trust,10.168.22.101-10.168.22.108,untrust,192.168.48.241,tcp_443,,,permit,,
40,trust,10.168.22.101-10.168.22.108,untrust,192.168.48.246-192.168.48.248,tcp_8888,,,permit,,
41,trust,10.168.22.101-10.168.22.108,untrust,192.168.48.246-192.168.48.248,tcp_443,,,permit,,
42,untrust,192.168.252.16,trust,10.168.90.82,tcp_445,,,permit,245.0,
43,,,,10.168.90.83,,,,,,
44,untrust,192.168.237.59,trust,192.168.237.123,tcp_22,,,permit,260.0,
45,untrust,192.168.47.149,trust,10.168.80.0/24,tcp-445,,,permit,525.0,
46,,,,10.168.81.0/24,,,,,,
47,untrust,192.168.252.60,trust,10.168.91.0/24,tcp_22,,,permit,409.0,
48,,192.168.252.61,,10.168.90.0/24,,,,,,
49,,,,10.168.22.0/27,,,,,,
50,,,,10.168.88.0/24,,,,,,
51,,,,10.168.89.0/24,,,,,,
52,,,,10.168.22.96/27,,,,,,
53,untrust,192.168.22.146,trust,10.168.22.114,tcp_22,,,permit,511.0,
54,,,,10.168.22.113,,,,,,
55,untrust,192.168.252.14,trust,10.168.88.0/24,tcp_49152-65535,,,permit,212.0,
56,,,,10.168.89.0/24,,,,,,
57,,,,10.168.90.0/24,,,,,,
58,untrust,192.168.81.79,trust,10.168.80.0/24,tcp_5985,,,permit,,
59,untrust,192.168.81.80,trust,10.168.80.0/24,tcp_5985,,,permit,,
