,Unnamed: 0,Src Zone,Src_Address,Dst Zone,Dst_Address,Service,App,URL,Action,Last Matched (days ago),사용유무
8,8,trust,10.168.90.88,untrust,10.168.7.28,tcp_1433,,,permit,419.0,
9,9,,10.168.90.89,,,,,,,,
21,21,,10.168.88.0/24,,,,,,,,
23,23,,10.168.90.0/24,,,,,,,,
26,26,,10.168.88.0/24,,,,,,,,
28,28,,10.168.90.0/24,,,,,,,,
31,31,trust,10.168.88.0/24,untrust,192.168.252.21,tcp_139,,,permit,266.0,
33,33,,10.168.90.0/24,,,,,,,,
35,35,trust,10.168.90.0/24,untrust,192.168.48.241,tcp_8888,,,permit,,
37,37,trust,10.168.88.0/24,untrust,192.168.48.241,tcp_8888,,,permit,,
42,42,untrust,192.168.252.16,trust,10.168.90.82,tcp_445,,,permit,245.0,
43,43,,,,10.168.90.83,,,,,,
48,48,,192.168.252.61,,10.168.90.0/24,,,,,,
50,50,,,,10.168.88.0/24,,,,,,
55,55,untrust,192.168.252.14,trust,10.168.88.0/24,tcp_49152-65535,,,permit,212.0,
57,57,,,,10.168.90.0/24,,,,,,
